"id","export_id","time","export_time","project_code","product_name","part_no","origin","quantity","seri_number","cabinet","deleted"
879,,2025-11-04 16:35:00.142,2025-11-04 16:35:00.142,ES755-A2501,"Biến dòng kẹp 4000/1A, Cl 1.0, 10VA",ILEC-JP-614-4000,,1,"251023116",,false
880,,2025-11-04 16:35:17.686,2025-11-04 16:35:17.686,ES755-A2501,"Biến dòng kẹp 4000/1A, Cl 1.0, 10VA",ILEC-JP-614-4000,,1,"251023142",,false
881,,2025-11-04 16:35:32.267,2025-11-04 16:35:32.267,ES755-A2501,"Biến dòng kẹp 4000/1A, Cl 1.0, 10VA",ILEC-JP-614-4000,,1,"251023112",,false
882,,2025-11-04 16:36:06.060,2025-11-04 16:36:06.060,ES755-A2501,"Biến dòng kẹp 4000/1A, Cl 1.0, 10VA",ILEC-JP-614-4000,,1,"251023131",,false
883,,2025-11-04 16:36:24.481,2025-11-04 16:36:24.481,ES755-A2501,"Biến dòng kẹp 4000/1A, Cl 1.0, 10VA",ILEC-JP-614-4000,,1,"251023147",,false
884,,2025-11-04 16:37:25.090,2025-11-04 16:37:25.090,ES755-A2501,"Biến dòng kẹp 4000/1A, Cl 1.0, 10VA",ILEC-JP-614-4000,,1,"251023111",,false
850,,2025-11-04 11:43:12.393,2025-11-04 11:43:12.393,"",,"1P6GK59921AG008AA0+SVPT8445628",,1,"",,false
855,,2025-11-04 16:20:28.726,2025-11-04 16:20:28.726,ES755-A2501,"Biến dòng kẹp 4000/1A, Cl 1.0, 10VA",ILEC-JP-614-4000,,1,"251023127",,false
856,,2025-11-04 16:22:01.775,2025-11-04 16:22:01.775,ES755-A2501,"Biến dòng kẹp 4000/1A, Cl 1.0, 10VA",ILEC-JP-614-4000,,1,"251023130",,false
857,,2025-11-04 16:23:30.342,2025-11-04 16:23:30.342,ES755-A2501,"Biến dòng kẹp 4000/1A, Cl 1.0, 10VA",ILEC-JP-614-4000,,1,"251023113",,false
858,,2025-11-04 16:24:09.947,2025-11-04 16:24:09.947,ES755-A2501,"Biến dòng kẹp 4000/1A, Cl 1.0, 10VA",ILEC-JP-614-4000,,1,"251023118",,false
859,,2025-11-04 16:24:47.734,2025-11-04 16:24:47.734,ES755-A2501,"Biến dòng kẹp 4000/1A, Cl 1.0, 10VA",ILEC-JP-614-4000,,1,"251023114",,false
885,,2025-11-04 16:38:03.651,2025-11-04 16:38:03.651,ES755-A2501,"Biến dòng kẹp 4000/1A, Cl 1.0, 10VA",ILEC-JP-614-4000,,1,"251023136",,false
886,,2025-11-04 16:38:18.952,2025-11-04 16:38:18.952,ES755-A2501,"Biến dòng kẹp 4000/1A, Cl 1.0, 10VA",ILEC-JP-614-4000,,1,"251023141",,false
887,,2025-11-04 16:38:37.793,2025-11-04 16:38:37.793,ES755-A2501,"Biến dòng kẹp 4000/1A, Cl 1.0, 10VA",ILEC-JP-614-4000,,1,"251023128",,false
888,,2025-11-04 16:39:09.733,2025-11-04 16:39:09.733,ES755-A2501,"Biến dòng kẹp 4000/1A, Cl 1.0, 10VA",ILEC-JP-614-4000,,1,"251023139",,false
889,,2025-11-04 16:39:29.153,2025-11-04 16:39:29.153,ES755-A2501,"Biến dòng kẹp 4000/1A, Cl 1.0, 10VA",ILEC-JP-614-4000,,1,"251023106",,false
890,,2025-11-04 16:39:58.296,2025-11-04 16:39:58.296,ES755-A2501,"Biến dòng kẹp 4000/1A, Cl 1.0, 10VA",ILEC-JP-614-4000,,1,"251023110",,false
891,,2025-11-04 16:40:13.263,2025-11-04 16:40:13.263,ES755-A2501,"Biến dòng kẹp 4000/1A, Cl 1.0, 10VA",ILEC-JP-614-4000,,1,"251023143",,false
892,,2025-11-04 16:40:33.432,2025-11-04 16:40:33.432,ES755-A2501,"Biến dòng kẹp 4000/1A, Cl 1.0, 10VA",ILEC-JP-614-4000,,1,"251023144",,false
893,,2025-11-04 16:41:07.077,2025-11-04 16:41:07.077,ES755-A2501,"Biến dòng kẹp 4000/1A, Cl 1.0, 10VA",ILEC-JP-614-4000,,1,"21023120",,false
894,,2025-11-04 16:41:30.317,2025-11-04 16:41:30.317,ES755-A2501,"Biến dòng kẹp 4000/1A, Cl 1.0, 10VA",ILEC-JP-614-4000,,1,"251023126",,false
895,,2025-11-04 16:41:46.243,2025-11-04 16:41:46.243,ES755-A2501,"Biến dòng kẹp 4000/1A, Cl 1.0, 10VA",ILEC-JP-614-4000,,1,"251023132",,false
860,,2025-11-04 16:25:14.922,2025-11-04 16:25:14.922,ES755-A2501,"Biến dòng kẹp 4000/1A, Cl 1.0, 10VA",ILEC-JP-614-4000,,1,"251023119",,false
861,,2025-11-04 16:27:04.224,2025-11-04 16:27:04.224,ES755-A2501,"Biến dòng kẹp 4000/1A, Cl 1.0, 10VA",ILEC-JP-614-4000,,1,"251023138",,false
862,,2025-11-04 16:27:26.544,2025-11-04 16:27:26.544,ES755-A2501,"Biến dòng kẹp 4000/1A, Cl 1.0, 10VA",ILEC-JP-614-4000,,1,"251023124",,false
863,,2025-11-04 16:28:01.872,2025-11-04 16:28:01.872,ES755-A2501,"Biến dòng kẹp 4000/1A, Cl 1.0, 10VA",ILEC-JP-614-4000,,1,"251023109",,false
864,,2025-11-04 16:28:53.137,2025-11-04 16:28:53.137,ES755-A2501,"Biến dòng kẹp 4000/1A, Cl 1.0, 10VA",ILEC-JP-614-4000,,1,"251023140",,false
865,,2025-11-04 16:29:12.701,2025-11-04 16:29:12.701,ES755-A2501,"Biến dòng kẹp 4000/1A, Cl 1.0, 10VA",ILEC-JP-614-4000,,1,"251023134",,false
866,,2025-11-04 16:29:30.830,2025-11-04 16:29:30.830,ES755-A2501,"Biến dòng kẹp 4000/1A, Cl 1.0, 10VA",ILEC-JP-614-4000,,1,"251023122",,false
867,,2025-11-04 16:29:56.604,2025-11-04 16:29:56.604,ES755-A2501,"Biến dòng kẹp 4000/1A, Cl 1.0, 10VA",ILEC-JP-614-4000,,1,"251023146",,false
868,,2025-11-04 16:30:25.917,2025-11-04 16:30:25.917,ES755-A2501,"Biến dòng kẹp 4000/1A, Cl 1.0, 10VA",ILEC-JP-614-4000,,1,"251023133",,false
869,,2025-11-04 16:30:42.265,2025-11-04 16:30:42.265,ES755-A2501,"Biến dòng kẹp 4000/1A, Cl 1.0, 10VA",ILEC-JP-614-4000,,1,"251023137",,false
870,,2025-11-04 16:31:06.251,2025-11-04 16:31:06.251,ES755-A2501,"Biến dòng kẹp 4000/1A, Cl 1.0, 10VA",ILEC-JP-614-4000,,1,"251023107",,false
871,,2025-11-04 16:31:34.410,2025-11-04 16:31:34.410,ES755-A2501,"Biến dòng kẹp 4000/1A, Cl 1.0, 10VA",ILEC-JP-614-4000,,1,"251023125",,false
872,,2025-11-04 16:31:53.608,2025-11-04 16:31:53.608,ES755-A2501,"Biến dòng kẹp 4000/1A, Cl 1.0, 10VA",ILEC-JP-614-4000,,1,"251023103",,false
873,,2025-11-04 16:32:20.198,2025-11-04 16:32:20.198,ES755-A2501,"Biến dòng kẹp 4000/1A, Cl 1.0, 10VA",ILEC-JP-614-4000,,1,"251023148",,false
874,,2025-11-04 16:32:43.596,2025-11-04 16:32:43.596,ES755-A2501,"Biến dòng kẹp 4000/1A, Cl 1.0, 10VA",ILEC-JP-614-4000,,1,"251023102",,false
875,,2025-11-04 16:33:02.277,2025-11-04 16:33:02.277,ES755-A2501,"Biến dòng kẹp 4000/1A, Cl 1.0, 10VA",ILEC-JP-614-4000,,1,"251023135",,false
876,,2025-11-04 16:33:29.766,2025-11-04 16:33:29.766,ES755-A2501,"Biến dòng kẹp 4000/1A, Cl 1.0, 10VA",ILEC-JP-614-4000,,1,"251023101",,false
877,,2025-11-04 16:33:48.901,2025-11-04 16:33:48.901,ES755-A2501,"Biến dòng kẹp 4000/1A, Cl 1.0, 10VA",ILEC-JP-614-4000,,1,"251023121",,false
878,,2025-11-04 16:34:28.634,2025-11-04 16:34:28.634,ES755-A2501,"Biến dòng kẹp 4000/1A, Cl 1.0, 10VA",ILEC-JP-614-4000,,1,"251023108",,false
896,,2025-11-04 16:42:02.627,2025-11-04 16:42:02.627,ES755-A2501,"Biến dòng kẹp 4000/1A, Cl 1.0, 10VA",ILEC-JP-614-4000,,1,"251023129",,false
897,,2025-11-04 16:42:27.531,2025-11-04 16:42:27.531,ES755-A2501,"Biến dòng kẹp 4000/1A, Cl 1.0, 10VA",ILEC-JP-614-4000,,1,"251023104",,false
898,,2025-11-04 16:42:47.791,2025-11-04 16:42:47.791,ES755-A2501,"Biến dòng kẹp 4000/1A, Cl 1.0, 10VA",ILEC-JP-614-4000,,1,"251023123",,false
899,,2025-11-04 16:43:11.172,2025-11-04 16:43:11.172,ES755-A2501,"Biến dòng kẹp 4000/1A, Cl 1.0, 10VA",ILEC-JP-614-4000,,1,"251023145",,false
900,,2025-11-04 16:43:43.023,2025-11-04 16:43:43.023,ES755-A2501,"Biến dòng kẹp 4000/1A, Cl 1.0, 10VA",ILEC-JP-614-4000,,1,"251023105",,false
901,,2025-11-04 16:44:00.329,2025-11-04 16:44:00.329,ES755-A2501,"Biến dòng kẹp 4000/1A, Cl 1.0, 10VA",ILEC-JP-614-4000,,1,"251023117",,false
904,,2025-11-05 08:58:08.565,2025-11-05 08:58:08.565,ES755-A2501,"Biến dòng kẹp 4000/1A, Cl 1.0, 10VA",ILEC-JP-614-4000,,1,"251023115",,false
