"id","import_id","time","import_time","project_code","product_name","part_no","origin","quantity","seri_number","deleted","statistical_id"
724,"4513623602",2025-11-05 09:17:14.782,2025-11-05 09:17:14.782,ES755-A2501,,"1P6SL3320-1TG35-8AA3",,2,ST-T919701208,false,
723,"4513623602",2025-11-05 09:17:03.501,2025-11-05 09:17:03.501,ES755-A2501,,"1P6SL3320-1TG38-1AA3",,1,ST-T922700555,false,
722,"4513623602",2025-11-05 09:15:59.662,2025-11-05 09:15:59.662,ES755-A2501,,"1P6SL3330-6TG41-7AA3",,1,ST-TO09700332,false,
721,"4513623602",2025-11-05 09:15:24.914,2025-11-05 09:15:24.914,ES755-A2501,,"1P6SL3330-6TG41-7AA3",,1,ST-TO09700329,false,
720,"4513623602",2025-11-05 09:13:47.975,2025-11-05 09:13:47.975,ES755-A2501,,"1P6SL3320-1TG41-3AA3",,1,ST-T924700686,false,
719,"4513623602",2025-11-05 09:13:24.342,2025-11-05 09:13:24.342,ES755-A2501,,"1P6SL3320-1TG41-3AA3",,1,ST-TO09700356,false,
718,"4513623602",2025-11-05 09:12:28.834,2025-11-05 09:12:28.834,ES755-A2501,,"1P6SL3352-1AG41-3FA1",,1,ST-T925100100,false,
715,"4513623602",2025-11-05 09:11:23.757,2025-11-05 09:11:23.757,ES755-A2501,,"1P6SL3310-1GH32-6AA3",,3,ST-TO14701897,false,
714,"4513623602",2025-11-05 09:09:56.458,2025-11-05 09:09:56.458,ES755-A2501,,"1P6SL3330-6TG41-7AA3",,1,ST-T925700317,false,
713,"4513623602",2025-11-05 09:09:48.182,2025-11-05 09:09:48.182,ES755-A2501,,"1P6SL3320-1TG41-0AA3",,1,ST-T919701195,false,
712,"4513623602",2025-11-05 09:09:39.936,2025-11-05 09:09:39.936,ES755-A2501,,"1P6SL3330-6TG41-7AA3",,1,ST-T929700591,false,
711,"4513623602",2025-11-05 09:09:27.447,2025-11-05 09:09:27.447,ES755-A2501,,"1P6SL3330-6TG41-7AA3",,1,ST-T925700322,false,
710,"4513623602",2025-11-05 09:09:13.298,2025-11-05 09:09:13.298,ES755-A2501,,"1P6SL3320-1TG41-0AA3",,1,ST-T923700484,false,
709,"4513623602",2025-11-05 09:09:02.487,2025-11-05 09:09:02.487,ES755-A2501,,"1P6SL3320-1TG38-1AA3",,1,ST-T923700487,false,
