"id","higher_lever_function","location","dt","quantity","description","part_no","seri_number","manufacturer","project_code"
53,=LX931EF02.E01332,+LX2B5JB31333,-K021332,"1",Test mô tả,TEST,,TEST,TEST
52,=LX931EF02.E01331,+LX2B5JB31332,-K021331,"1",Test mô tả,TEST,"8936036829150",TEST,TEST
1,=LX931EF01.G01,+LX2B5JA30,-F011,"1","SENTRON MINIATURE CIRCUIT BREAKER

6A","5SY6106-7",,Siemens,ES755-A2501
2,=LX931EF01.G01,+LX2B5JA30,-R011,"1","SINAMICS LINE REACTOR
SINAMICS
","6SL3000-0EH41-4AA0",,Siemens,ES755-A2501
3,=LX931EF01.G01,+LX2B5JA30,-T011,"1","SINAMICS S120 SMART LINE MODULE
S120 CHASSIS SLM
","6SL3330-6TG41-7AA3",,Siemens,ES755-A2501
4,=LX931EF01.E01,+LX2B5JA31,-B011,"1","MCT 4.000/1A; CL. 1; 10VA; RECTANGULAR
BUSBAR TYPE CURRENT TRANSFORMER
",JP-614-4000/1A-CL1-10VA,,ILEC,ES755-A2501
5,=LX931EF01.E01,+LX2B5JA31,-B012,"1","MCT 4.000/1A; CL. 1; 10VA; RECTANGULAR
BUSBAR TYPE CURRENT TRANSFORMER
",JP-614-4000/1A-CL1-10VA,,ILEC,ES755-A2501
6,=LX931EF01.E01,+LX2B5JA31,-B013,"1","MCT 4.000/1A; CL. 1; 10VA; RECTANGULAR
BUSBAR TYPE CURRENT TRANSFORMER
",JP-614-4000/1A-CL1-10VA,,ILEC,ES755-A2501
7,=LX931EF01.E01,+LX2B5JA31,-F041,"1","DEHNGUARD FM SURGE ARRESTER

","950112",,DEHN,ES755-A2501
8,=LX931EF01.E01,+LX2B5JA31,-F041,"1","EARTHING CLIP FOR TWO-MODULE ENCLOSURES, SINGLE-PHASE, THREE-POLE

","900411",,DEHN,ES755-A2501
9,=LX931EF01.E01,+LX2B5JA31,-F042,"1","DEHNGUARD FM SURGE ARRESTER

","950112",,DEHN,ES755-A2501
10,=LX931EF01.E01,+LX2B5JA31,-F043,"1","DEHNGUARD FM SURGE ARRESTER

","950112",,DEHN,ES755-A2501
11,=LX931EF01.E01,+LX2B5JA31,-K021,"1","RIF-2-RPT-LV-230AC/4X21 - RELAY MODULE

","2903304",,Phoenix Contact,ES755-A2501
12,=LX931EF01.E01,+LX2B5JA31,-K051,"1","ISOMETER iso685-D
DISPLAY INTERGRATED
",B91067010,,BENDER,ES755-A2501
13,=LX931EF01.E01,+LX2B5JA31,-P031,"1","PMD SENTRON PAC3220 LCD ACDC
SENTRON
","7KM3220-0BA01-1DA0",,Siemens,ES755-A2501
14,=LX931EF01.E01,+LX2B5JA31,-P032,"1","SWITCHED ETHERNET PROFINET MODULE V3
SENTRON
","7KM9300-0AE02-0AA0",,Siemens,ES755-A2501
15,=LX931EF01.E01,+LX2B5JA31,-Q021,"1","AIR CIRCUIT BREAKER 3WA1, 3-POLES, IN=3200A
FS 2, XA, ETU300, WITHDRAWABLE VERSIONS, FRONT HOLE
","3WA1232-8AB33-4EQ0-Z C11+S07+T40",,Siemens,ES755-A2501
16,=LX931EF01.E01,+LX2B5JA31,-Q041,"1","FUSE DISCONNECTING SWITCH 3 POLE

630A AC 690V 3 POLE, 50KA",MRO.H1(DR1)-250,,MIRO,ES755-A2501
17,=LX931EF01.E01,+LX2B5JA31,-Q041,"3","DIN NH STANDARD FUSE-LINK GG SIZE NH1

690VAC 400VDC 100A",NH1GG69V100,,MERSEN,ES755-A2501
18,=LX931EF01.E01,+LX2B5JA31,-Q061,"1","SW.DISCON. W.F. 3-P 125A/SZ.00
SENTRON Switching device
3KF switch disconnector with fuses","3KF2312-2LF11",,Siemens,ES755-A2501
19,=LX931EF01.E01,+LX2B5JA31,-Q061,"3","LV HRC FUSE LINK GL/GG WITH NON-INSULATED GRIP LUGS
WITH FRONT INDICATOR SIZE 00, 80A, AC 690V/DC 250V
","3NA3824-6",,Siemens,ES755-A2501
20,=LX931EF01.E01,+LX2B5JA31,-Q061,"1","CONTACT MODULE 1NO
SIRIUS ACT Contact module
Contact module","3SU1400-1AA10-1BA0",,Siemens,ES755-A2501
21,=LX931EF01.E01,+LX2B5JA31,-Q062,"1","CYLINDRICAL FUSE HOLDER, 14X51 MM, 3-POLE, IN: 50 A, UN AC: 690 V, LED SIGNAL DETECTOR
SENTRON
","3NW7132",,Siemens,ES755-A2501
22,=LX931EF01.E01,+LX2B5JA31,-Q062,"3","CYLINDRICAL FUSE GG ACC. TO FRENCH STANDARD (NFC)
WITHOUT INDICATOR SIZE 14X51MM, 690V 4A
","3NW6104-1",,Siemens,ES755-A2501
23,=LX931EF01.E01,+LX2B5JA31,-Q063,"1","CYLINDRICAL FUSE HOLDER, 14X51 MM, 3-POLE, IN: 50 A, UN AC: 690 V, LED SIGNAL DETECTOR
SENTRON
","3NW7132",,Siemens,ES755-A2501
24,=LX931EF01.E01,+LX2B5JA31,-Q063,"3","CYLINDRICAL FUSE GG ACC. TO FRENCH STANDARD (NFC)
WITHOUT INDICATOR SIZE 14X51MM, 690V 4A
","3NW6104-1",,Siemens,ES755-A2501
25,=LX931EF01.E01,+LX2B5JA31,-Q064,"1","CYLINDRICAL FUSE HOLDER, 14X51 MM, 2-POLE, IN: 50 A, UN AC: 690 V, LED SIGNAL DETECTOR
SENTRON
","3NW7122",,Siemens,ES755-A2501
26,=LX931EF01.E01,+LX2B5JA31,-Q064,"2","CYLINDRICAL FUSE GG ACC. TO FRENCH STANDARD (NFC)
WITHOUT INDICATOR SIZE 14X51MM, 690V 4A
","3NW6104-1",,Siemens,ES755-A2501
27,=LX931EF01.E03,+LX2B5JA31,-F011,"1","SENTRON MINIATURE CIRCUIT BREAKER

2A","5SY6202-7",,Siemens,ES755-A2501
28,=LX931EF01.E03,+LX2B5JA31,-F012,"1","SENTRON MINIATURE CIRCUIT BREAKER

2A","5SY6202-7",,Siemens,ES755-A2501
29,=LX931EF01.E03,+LX2B5JA31,-F013,"1","SENTRON MINIATURE CIRCUIT BREAKER

2A","5SY6202-7",,Siemens,ES755-A2501
